order_id,order_source,service_type,job_type,requested_start_date,requested_end_date,committed_delivery_date,postcode,customer_ready_status,access_issue_flag,customer_delay_flag,driveway_surface_hint,photo_provided_flag,dog_on_site_flag,exchange_visit_flag,heavy_ppe_hint,unstructured_customer_notes
WO-001,Home Broadband,FTTP Installation,new line installation,2026-04-01,2026-04-05,2026-04-03,B1 1BB,ready,false,false,gravel,false,false,false,,"Standard install. Customer mentioned they have a long driveway approx 40m. Rear access only, use side gate code 4821."
WO-002,Ethernet,Ethernet Bearer,provision,2026-04-02,2026-04-10,2026-04-08,M1 2JW,ready,true,false,tarmac,true,false,true,confined space,"Wayleave issue on neighbouring land not yet resolved. Exchange visit needed. Duct route passes through basement - low ceiling approx 1.4m. Contact site manager Dave on 07700 900123 before attending."
WO-003,Home Broadband,FTTP Installation,new line installation,2026-04-03,2026-04-07,2026-04-05,LS1 4AP,not ready,false,true,,false,true,false,,"Customer called to say they are on holiday until 10th April. DO NOT ATTEND before then. Large dog in back garden - must be secured before engineer arrives. Notes say customer only available mornings before 12."
WO-004,Ethernet,Ethernet Bearer,provision,2026-04-05,2026-04-15,2026-04-12,EC1A 1BB,ready,false,false,block paving,true,false,true,overhead work,"Multi-storey office block. Fibre route goes up external wall to 3rd floor. Will need cherry picker or scaffolding. Building manager must grant roof access 48hrs in advance. Previous attempt failed - wrong cable length ordered."
WO-005,Home Broadband,Broadband Repair,repair,2026-04-01,2026-04-03,2026-04-02,SW1A 2AA,ready,false,false,tarmac,false,false,false,,"Intermittent connection dropping. Customer reports issue worse in evenings. Router reboot does not fix. Suspect damaged drop cable from pole. Customer works from home - prefers afternoon slot after 2pm."
WO-006,Home Broadband,FTTP Installation,new line installation,2026-04-07,2026-04-11,2026-04-09,CF10 1BH,unknown,true,false,gravel,false,false,false,,"Cannot find chamber cover - may be under customer's new patio. Customer aware and says they will lift slabs before visit. Access via narrow alleyway, van cannot park within 50m."
WO-007,Ethernet,Ethernet Bearer,provision,2026-04-10,2026-04-20,2026-04-18,G1 1RD,ready,false,false,,true,false,true,confined space,"Data centre install. Must wear full anti-static PPE. Raised floor cable routing. Security clearance required - engineer must bring photo ID and confirmation email ref DC-2026-445. Customer contact is night shift only available between 10pm and 6am."
WO-008,Home Broadband,FTTP Installation,new line installation,2026-04-02,2026-04-06,2026-04-04,NE1 7RU,ready,false,false,block paving,true,false,false,,"Straightforward install. Customer has cleared route from pole to house. Photo shows clear path. No obstructions noted. Available any day, any time."
WO-009,Home Broadband,Broadband Repair,repair,2026-04-03,2026-04-05,2026-04-04,EX1 1EE,ready,false,false,tarmac,false,true,false,,"Customer reports no broadband for 3 days. Two large dogs on property - customer says they will keep them inside. Previous engineer noted damaged cable at joint box 200m from property. Need cable jointing kit."
WO-010,Ethernet,Ethernet Bearer,cease,2026-04-08,2026-04-12,2026-04-10,LE1 1AA,ready,false,false,,false,false,true,,"Cease and recovery of equipment at customer premises. Must recover ONT and patch panel. Building being demolished in 3 weeks so access may become restricted. Asbestos survey flagged on floor 2 - do not access without clearance."
WO-011,Home Broadband,FTTP Installation,new line installation,2026-04-04,2026-04-08,2026-04-06,OX1 1HS,not ready,false,true,,false,false,false,,"Customer wants to delay until new extension is built. Builder says ready mid-April at earliest. Customer asked us to call back on 0771 234 5678 to confirm date. DO NOT book until customer confirms."
WO-012,Ethernet,Ethernet Bearer,provision,2026-04-14,2026-04-24,2026-04-22,BS1 4DJ,ready,true,false,tarmac,true,true,true,overhead work,"Industrial estate. Duct blockage found on previous survey. May need new duct bore approx 30m. Guard dog reported by survey engineer. Site only accessible Mon to Fri 8am to 4pm. Overhead power lines near proposed route - must maintain safe clearance."
WO-013,Home Broadband,Broadband Repair,repair,2026-04-02,2026-04-04,2026-04-03,PO1 1AF,ready,false,false,,false,false,false,,"Customer elderly and hard of hearing. Please knock loudly and wait. Fault traced to external connection point. May need to replace connection point housing. Customer daughter is point of contact on 07700 112233 - call her when on way."
WO-014,Home Broadband,FTTP Installation,new line installation,2026-04-06,2026-04-10,2026-04-08,IP1 1AX,ready,false,false,gravel,false,true,false,,"Rural property. Long garden run approx 80m from pole. Customer has two friendly dogs but they are not secured. Underground route preferred as overhead not feasible. Customer available weekdays only 9-5. Noted mole damage along proposed route."
